Date,Adj Close
4/1/1998,2.415702
5/1/1998,2.409427
6/1/1998,2.68237
7/1/1998,2.101974
8/1/1998,1.584324
9/1/1998,1.816482
10/1/1998,2.177269
11/1/1998,2.315309
12/1/1998,2.817273
1/1/1999,2.613351
2/1/1999,2.654135
3/1/1999,2.817273
4/1/1999,3.708259
5/1/1999,3.701984
6/1/1999,3.771006
7/1/1999,2.334132
8/1/1999,2.296484
9/1/1999,2.487858
10/1/1999,2.72943
11/1/1999,2.666683
12/1/1999,2.434525
1/1/2000,3.212569
2/1/2000,3.526298
3/1/2000,4.498851
4/1/2000,3.035313
5/1/2000,3.413354
6/1/2000,3.83375
7/1/2000,3.764729
8/1/2000,3.676886
9/1/2000,4.021987
10/1/2000,4.486302
11/1/2000,4.574146
12/1/2000,4.442379
1/1/2001,5.013365
2/1/2001,4.781207
3/1/2001,4.260418
4/1/2001,3.885201
5/1/2001,3.919333
6/1/2001,4.61807
7/1/2001,3.622171
8/1/2001,3.387252
9/1/2001,2.999738
10/1/2001,3.437449
11/1/2001,3.557921
12/1/2001,3.824965
1/1/2002,4.772673
2/1/2002,4.620076
3/1/2002,4.64417
4/1/2002,4.581926
5/1/2002,4.875074
6/1/2002,4.989521
7/1/2002,3.94142
8/1/2002,4.03579
9/1/2002,4.148229
10/1/2002,4.786728
11/1/2002,4.365079
12/1/2002,4.09201
1/1/2003,4.561848
2/1/2003,4.708422
3/1/2003,5.172236
4/1/2003,4.720469
5/1/2003,4.95338
6/1/2003,4.929286
7/1/2003,5.487469
8/1/2003,5.700301
9/1/2003,5.782623
10/1/2003,6.344826
11/1/2003,6.45927
12/1/2003,6.658051
1/1/2004,7.35076
2/1/2004,7.509383
3/1/2004,7.603748
4/1/2004,7.814573
5/1/2004,8.151896
6/1/2004,8.732168
7/1/2004,9.434914
8/1/2004,8.681971
9/1/2004,9.12771
10/1/2004,10.617543
11/1/2004,11.296199
12/1/2004,12.520988
1/1/2005,10.842421
2/1/2005,10.4027
3/1/2005,10.372584
4/1/2005,9.942901
5/1/2005,11.001038
6/1/2005,10.372584
7/1/2005,10.551283
8/1/2005,9.844516
9/1/2005,10.059358
10/1/2005,11.356431
11/1/2005,12.227846
12/1/2005,12.051151
1/1/2006,12.729804
2/1/2006,14.585068
3/1/2006,15.111121
4/1/2006,14.966561
5/1/2006,14.316012
6/1/2006,15.163325
7/1/2006,13.74578
8/1/2006,12.452722
9/1/2006,13.673493
10/1/2006,15.159312
11/1/2006,14.171446
12/1/2006,14.223644
1/1/2007,14.030895
2/1/2007,12.408547
3/1/2007,12.593272
4/1/2007,12.456736
5/1/2007,11.569265
6/1/2007,10.537227
7/1/2007,10.71392
8/1/2007,11.063286
9/1/2007,10.521164
10/1/2007,10.71392
11/1/2007,9.392748
12/1/2007,8.220162
1/1/2008,7.593711
2/1/2008,7.22025
3/1/2008,7.027494
4/1/2008,6.517499
5/1/2008,7.304582
6/1/2008,6.32073
7/1/2008,5.899081
8/1/2008,6.248446
9/1/2008,5.971364
10/1/2008,5.272628
11/1/2008,3.586031
12/1/2008,3.798863
1/1/2009,3.790831
2/1/2009,3.674376
3/1/2009,4.461455
4/1/2009,5.806718
5/1/2009,5.778608
6/1/2009,5.577824
7/1/2009,7.107809
8/1/2009,7.625837
9/1/2009,8.292442
10/1/2009,7.621824
11/1/2009,8.794408
12/1/2009,9.260234
1/1/2010,8.750235
2/1/2010,9.199997
3/1/2010,9.746133
4/1/2010,10.432817
5/1/2010,10.439742
6/1/2010,9.798602
7/1/2010,10.02038
8/1/2010,9.26633
9/1/2010,10.356825
10/1/2010,11.576944
11/1/2010,12.40387
12/1/2010,13.079288
1/1/2011,12.835045
2/1/2011,13.425297
3/1/2011,15.101637
4/1/2011,14.795114
5/1/2011,15.036249
6/1/2011,16.197393
7/1/2011,16.443491
8/1/2011,15.840549
9/1/2011,15.349373
10/1/2011,17.436296
11/1/2011,17.897314
12/1/2011,19.012781
1/1/2012,19.802044
2/1/2012,20.066519
3/1/2012,23.177042
4/1/2012,23.790789
5/1/2012,22.762354
6/1/2012,22.179153
7/1/2012,18.834806
8/1/2012,20.635931
9/1/2012,21.17547
10/1/2012,19.166916
11/1/2012,21.659863
12/1/2012,22.487991
1/1/2013,23.532091
2/1/2013,22.999552
3/1/2013,23.969866
